owner,ip_or_cidr,ptr_record,asn,asn_description,country,network_name,network_cidr
Stretchoid (stretchoid.com),20.115.83.112,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.115.89.222,,,,,,
Stretchoid (stretchoid.com),20.115.90.159,azpdesu0xsyt.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.115.90.228,azpdesiynxkz.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.115.90.24,azpdegwv4vgg.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.208.65,azpdcgxu8fqf.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.208.63,,,,,,
Stretchoid (stretchoid.com),20.118.209.123,azpdcs2xgpkg.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.209.129,azpdcsehzfam.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.208.100,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.208.198,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.209.65,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.209.32,azpdcg8okhon.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.210.181,,,,,,
Stretchoid (stretchoid.com),20.118.216.125,azpdcgb40ev2.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.209.70,azpdcs49k4w2.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.216.147,azpdcgkm3iag.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.216.221,azpdcsnblfww.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.216.53,azpdcg9xzbm5.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.216.92,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.217.143,azpdcswikukc.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.217.181,azpdcs1633ss.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.217.162,azpdcs6euka9.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.217.73,azpdcsb2o3d1.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.220.243,,,,,,
Stretchoid (stretchoid.com),20.118.224.15,,,,,,
Stretchoid (stretchoid.com),20.118.224.96,azpdcgpumxos.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.224.227,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.224.194,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.224.196,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.206.247,,,,,,
Stretchoid (stretchoid.com),20.118.209.103,azpdcsu103uh.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.225.39,,,,,,
Stretchoid (stretchoid.com),20.118.225.13,azpdcgp1ve7k.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.225.19,azpdcg7aao33.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.227.29,azpdcgc7yymy.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.228.64,,,,,,
Stretchoid (stretchoid.com),20.118.232.19,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.227.20,azpdcg5rhvp5.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.232.167,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.232.183,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.216.160,,,,,,
Stretchoid (stretchoid.com),20.118.233.116,,,,,,
Stretchoid (stretchoid.com),20.118.232.88,,,,,,
Stretchoid (stretchoid.com),20.118.232.75,azpdcg6w2wu2.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.233.189,azpdcgaqv58g.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.233.215,azpdcgj4auuy.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.235.235,,,,,,
Stretchoid (stretchoid.com),20.118.24.133,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.24.115,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.24.56,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.24.61,azpdcgf6ljqc.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.240.192,azpdcgjbjty5.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.240.71,azpdcgeb2uhy.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.240.163,,,,,,
Stretchoid (stretchoid.com),20.118.241.146,azpdcg5wkarh.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.241.248,,,,,,
Stretchoid (stretchoid.com),20.118.241.250,azpdcg13avob.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.241.35,azpdcgpfebsw.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.243.157,,,,,,
Stretchoid (stretchoid.com),20.118.242.6,,,,,,
Stretchoid (stretchoid.com),20.118.244.196,,,,,,
Stretchoid (stretchoid.com),20.118.244.22,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.32.17,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.25.36,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.248.174,azpdcg165ezm.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.25.79,,,,,,
Stretchoid (stretchoid.com),20.118.27.20,,,,,,
Stretchoid (stretchoid.com),20.118.32.201,,,,,,
Stretchoid (stretchoid.com),20.118.32.171,azpdcsdho1y8.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.32.235,azpdcsfai6q6.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.32.242,azpdcgewr0bm.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.32.39,azpdcsw85ywv.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.32.47,azpdcspdf48m.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.32.59,azpdcguzn4wp.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.118.32.90,,,,,,
Stretchoid (stretchoid.com),20.119.73.9,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.119.75.60,azpdess96y95.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.118.33.37,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.119.72.170,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.119.72.191,azpdesbzbr63.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.119.74.72,azpdese0e5ze.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.119.86.53,azpdegu6gq88.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.119.86.70,azpdegmm4y91.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.119.99.184,azpdesodkgep.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.119.86.71,azpdes86d7ex.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.119.99.194,azpdeg6v02vt.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.12.240.164,azpdcsf9dzpw.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.12.240.178,azpdcg5twwua.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.12.241.3,azpdcsamao81.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,20.0.0.0/11
Stretchoid (stretchoid.com),20.121.113.31,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.12.240.184,azpdcgw5zpxn.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,20.0.0.0/11
Stretchoid (stretchoid.com),20.121.123.108,azpdesmn15tp.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.12.240.188,azpdcs7r3eie.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.12.240.74,azpdcsbpaee8.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.12.240.9,azpdcse025j0.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.121.138.113,azpdegnpj8qo.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.121.136.72,,,,,,
Stretchoid (stretchoid.com),20.121.139.167,azpdeg87qj5p.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.121.139.67,azpdegzeumc2.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.121.46.178,,,,,,
Stretchoid (stretchoid.com),20.121.45.222,azpdegq8pp96.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.121.143.157,,,,,,
Stretchoid (stretchoid.com),20.121.46.26,azpdespq7q3k.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.121.46.95,azpdesgg8ot1.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.121.48.164,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.121.143.149,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.121.50.245,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.121.49.83,,,,,,
Stretchoid (stretchoid.com),20.121.69.183,,,,,,
Stretchoid (stretchoid.com),20.121.51.84,,,,,,
Stretchoid (stretchoid.com),20.121.69.192,azpdegt370ob.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.124.85.158,,,,,,
Stretchoid (stretchoid.com),20.121.69.249,,,,,,
Stretchoid (stretchoid.com),20.124.87.11,azpdegzcomgl.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.124.87.13,azpdeg7r3iwk.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.124.87.15,azpdes43rwcc.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.124.87.12,azpdegrvvl3p.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.124.91.8,azpdeg1wr5cq.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.124.93.218,azpdeg88rjbm.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.124.93.107,azpdegty35ix.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.127.144.130,,,,,,
Stretchoid (stretchoid.com),20.127.145.195,,,,,,
Stretchoid (stretchoid.com),20.127.152.107,,,,,,
Stretchoid (stretchoid.com),20.127.145.2,,,,,,
Stretchoid (stretchoid.com),20.127.152.241,azpdegi0adhv.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.127.152.79,,,,,,
Stretchoid (stretchoid.com),20.127.154.186,,,,,,
Stretchoid (stretchoid.com),20.127.153.188,azpdegyz6qm7.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.127.155.59,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.127.156.184,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.127.156.189,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.127.155.231,azpdegqyhu90.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.127.155.221,azpdesse7lkp.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.127.154.246,,,,,,
Stretchoid (stretchoid.com),20.127.156.229,,,,,,
Stretchoid (stretchoid.com),20.127.156.244,,,,,,
Stretchoid (stretchoid.com),20.127.156.250,,,,,,
Stretchoid (stretchoid.com),20.127.157.0,,,,,,
Stretchoid (stretchoid.com),20.127.157.158,,,,,,
Stretchoid (stretchoid.com),20.127.157.1,,,,,,
Stretchoid (stretchoid.com),20.127.157.125,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.127.157.68,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.127.157.56,azpdesfmfbd9.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.127.157.43,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.127.157.55,,,,,,
Stretchoid (stretchoid.com),20.127.158.186,,,,,,
Stretchoid (stretchoid.com),20.127.159.101,,,,,,
Stretchoid (stretchoid.com),20.127.159.170,,,,,,
Stretchoid (stretchoid.com),20.127.159.207,,,,,,
Stretchoid (stretchoid.com),20.127.159.218,,,,,,
Stretchoid (stretchoid.com),20.127.159.238,,,,,,
Stretchoid (stretchoid.com),20.127.159.226,,,,,,
Stretchoid (stretchoid.com),20.127.159.244,,,,,,
Stretchoid (stretchoid.com),20.127.159.245,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.127.159.254,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.127.162.225,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.127.159.63,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.127.159.214,,,,,,
Stretchoid (stretchoid.com),20.127.159.56,,,,,,
Stretchoid (stretchoid.com),20.127.168.200,,,,,,
Stretchoid (stretchoid.com),20.127.170.152,azpdegrzz3g0.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.127.169.51,,,,,,
Stretchoid (stretchoid.com),20.127.170.172,azpdeg7op4km.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.127.173.114,azpdeg2o8hwe.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.127.170.79,azpdegcw1ysw.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.127.186.200,azpdegf40bb7.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.127.185.20,azpdeg3nd9mr.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.127.192.255,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.127.186.138,azpdeg1upbq7.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.127.195.188,azpdesq9k9g7.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.127.187.30,azpdeg1nm66n.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.127.187.7,azpdesfrvrw8.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.127.192.218,azpdegfvnnvd.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.127.195.254,azpdesm03aba.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.127.200.74,azpdeg8g1cr5.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.127.197.3,,,,,,
Stretchoid (stretchoid.com),20.127.201.239,azpdeglq1i9b.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.127.202.110,azpdes6uvmgf.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.127.202.109,azpdegkn7tg2.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.127.201.247,azpdeg3u8a2o.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.127.202.120,azpdegdieryh.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.127.202.251,azpdegc95lq2.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.127.207.20,,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.127.202.128,azpdesnc4dwz.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,MSFT,"20.33.0.0/16, 20.34.0.0/15, 20.36.0.0/14, 20.40.0.0/13, 20.48.0.0/12, 20.64.0.0/10, 20.128.0.0/16"
Stretchoid (stretchoid.com),20.127.204.220,,,,,,
Stretchoid (stretchoid.com),20.127.210.151,azpdegrkl94t.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.127.212.254,,,,,,
Stretchoid (stretchoid.com),20.127.211.52,,,,,,
Stretchoid (stretchoid.com),20.127.218.58,azpdegcgnkol.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.127.213.239,,,,,,
Stretchoid (stretchoid.com),20.127.219.109,azpdes3lz3ok.stretchoid.com,,,,,
Stretchoid (stretchoid.com),20.127.220.170,azpdegts5jpu.stretchoid.com,,,,,
